word,example
"analysieren, analysiert, analysierte, hat analysiert",Die Politiker analysieren die Situation auf dem Arbeitsmarkt.
"anbieten, bietet an, bot an, hat angeboten",Darf ich Ihnen etwas zu trinken anbieten?
"der Anbieter, -",Ist das ein privater Telefonanbieter?
"das Angebot, -e",1. Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen. 2. Der Käse ist heute im Angebot.
ander-,1. Die anderen sind schon nach Hause gegangen. 2. Bitte nicht alle auf einmal! Einer nach dem anderen. 3. Ich hätte gern ein anderes Auto. 4. Natascha hat unter anderem Chinesisch und Spanisch gelernt.
andererseits,"Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen."
"ändern, ändert, änderte, hat geändert",1. Das Wetter hat sich geändert. 2. Ich habe meine Meinung inzwischen geändert.
"die Änderung, -en",Es gibt eine Programmänderung.
anders,1. Anders geht das leider nicht. 2. Oliver ist anders als seine Freunde. 3. Ich würde das anders machen.
"anerkennen, erkennt an, erkannte an, hat anerkannt",Meine Ausbildung wird hier nicht anerkannt.
"anfangen, fängt an, fing an, hat angefangen",1. Wann fängst du mit der Arbeit an? 2. Hier fängt die Bahnhofstraße an.
"der Anfang, ¨-e","1. Wie war der Film? – Ich habe nur den Anfang gesehen. 2. Am Anfang habe ich bei der Arbeit viele Fragen gestellt. 3. Mein Chef ist Anfang fünfzig. 4. Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe. 5. Wir machen Anfang Juli Ferien. 6. Meine Freundin wohnt am Anfang der Straße."
anfangs,Anfangs ging alles gut.
"angeben, gibt an, gab an, hat angegeben",Bitte geben Sie Ihre genaue Adresse an.
"die Angabe,-n","Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum."
"der Angehörige, -n die Angehörige, -n",Der Arzt darf nur Familienangehörigen Auskunft geben.
angenehm,Wir wünschen Ihnen eine angenehme Reise.
"die Angst, “-e","1. Du brauchst keine Angst zu haben. Der Hund tut dir nichts. 2. Ich habe Angst, vielleicht ist etwas passiert."
ängstlich,Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.
"anhaben, hat an, hatte an, hat angehabt",Gestern hatte Julia ein rotes Kleid an.
"anklicken, klickt an, klickte an, hat angeklickt",Du musst das Bild anklicken. Dann wird es größer.
"ankommen, kommt an, kam an, ist angekommen","1. Wann kommt der Zug in Hamburg an? 2. Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen."
die Ankunft,"1. Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr. 2. Gleich nach der Ankunft habe ich meine Eltern angerufen."
"ankündigen, kündigt an, kündigte an, hat angekündigt",Wir sollten unseren Besuch ankündigen.
"die Anlage, -n",1. Meine Musikanlage ist kaputt. 2. In der Anlage der E-Mail finden Sie meinen Lebenslauf.
"die Anleitung, -en","In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt."
"anmelden, meldet an, meldete an, hat angemeldet",Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.
"die Anmeldung, -en","1. Wo bekomme ich die Formulare für die Anmeldung? 2. Die Anmeldung ist im Erdgeschoss, Zimmer 55."
"annehmen, nimmt an, nahm an, hat angenommen","1. Ich nehme Ihre Einladung gern an. 2. Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind."
"die Annonce, -n","Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer."
"die Anrede, -n",Du darfst im Brief die Anrede nicht vergessen.
"anrufen, ruft an, rief an, hat angerufen",Ich rufe Sie heute Abend an.
"der Anruf, -e",Ich warte auf einen Anruf aus Berlin.
"der Anrufbeantworter, -",Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.
"die Ansage, -n",Achten Sie auf die Ansage am Bahnsteig.
"anschaffen, schafft an, schaffte an, hat angeschafft",Wir haben uns neue Möbel angeschafft.
"anschließen, schließt an, schloss an, hat angeschlossen",Wo kann ich den Computer anschließen?
"der Anschluss, ¨-e",1. In Mannheim haben Sie Anschluss nach Saarbrücken. 2. Ich brauche in meiner Wohnung einen Telefonanschluss.
"anschnallen, schnallt an, schnallte an, hat angeschnallt","Vergiss nicht, dich anzuschnallen."
"ansehen, sieht an, sah an, hat angesehen",1. Warum siehst du mich so erschrocken an? 2. Darf ich eure Urlaubsfotos ansehen?
"ansprechen, spricht an, sprach an, hat angesprochen",Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.
"der Anspruch, ¨-e",Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.
"anstellen, stellt an, stellte an, hat angestellt",1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt. 3. Da vorne ist die Kasse. Du musst dich anstellen.
"der Angestellte, -n die Angestellte, -n",Björn ist Angestellter in einem Reisebüro.
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen."
anstrengend,Ich finde diese Arbeit sehr anstrengend.
"der Antrag, ¨-e",Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?
"anwenden, wendet an, wandte an, hat angewandt/angewendet",Diese Salbe muss man dreimal am Tag anwenden.
anwesend,Bei dem Treffen waren alle Mitglieder anwesend.
"antworten, antwortet, antwortete, hat geantwortet",Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
"die Antwort, -en",Leider habe ich keine Antwort bekommen.
"der Anwalt, ¨-e die Anwältin, -nen",Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.
"anzeigen, zeigt an, zeigte an, hat angezeigt","Wenn Sie hier parken, zeige ich Sie an."
"die Anzeige, -n","1. Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer. 2. Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige."
"(sich) anziehen, zieht an, zog an, hat angezogen","1. Du musst dich wärmer anziehen, sonst erkältest du dich. 2. Heute ziehe ich mein neues T-Shirt an."
"der Anzug, ¨-e",Mein Mann hat sich einen neuen Anzug gekauft.
"das Apartment, -s",Wir haben ein Ferienapartment gemietet.
"der Apfel, ¨-",Zum Frühstück esse ich jeden Tag einen Apfel.
"die Apotheke, -n",Ist hier in der Nähe eine Apotheke?
"der Apparat, -e",1. Können Sie den Apparat bitte etwas leiser stellen? 2. Wo ist mein Fotoapparat?
der Appetit,1. Ich habe heute keinen Appetit. Ich mag nichts essen. 2. Auf was hast du Appetit? Vielleicht auf einen Salat? 3. Guten Appetit!
"die Aprikose, -n (D, CH) → A: Marille",Schmecken dir die Aprikosen?
"arbeiten, arbeitet, arbeitete, hat gearbeitet",1. Er arbeitet heute bis 16 Uhr. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.
"die Arbeit, -en",1. Wie gefällt dir deine Arbeit? 2. Nach der Ausbildung hat Mohamed eine Arbeit gefunden.
"der Arbeiter, die Arbeiterin, -nen",Maria ist seit zwei Jahren Arbeiterin bei Siemens.
"die Arbeitserlaubnis, -se",Haben Sie eine Arbeitserlaubnis?
arbeitslos,Wie lange sind Sie schon arbeitslos?
die Arbeitslosigkeit,Die Arbeitslosigkeit ist gesunken.
"der Arbeitsplatz, ¨-e",In der Industrie gibt es immer weniger Arbeitsplätze.
"die Arbeitsstelle, -n",Meine Frau hat eine neue Arbeitsstelle gefunden.
"der Architekt, -en die Architektin, -nen",Dieses Haus hat eine berühmte Architektin gebaut.
"(sich) ärgern, ärgert, ärgerte, hat geärgert",1. Ärgern Sie sich nicht. 2. Mein Bruder hat mich schon als Kind immer geärgert.
der Ärger,Ich hatte heute Ärger im Büro. Ich habe mich mit einem Kollegen gestritten.
ärgerlich,Der Zug hat schon wieder Verspätung. Das ist wirklich ärgerlich.
arm,1. Die Regierung hilft armen Nachbarländern. 2. Ich hätte gerne 200 g fettarmen Käse.
"der Arm, -e",Mein Freund hat sich den Arm gebrochen.
"die Art, -en",1. Im Zoo haben sie 34 verschiedene Arten von Vögeln. 2. Seine Art gefällt mir nicht. 3. Man kann auf unterschiedliche Art und Weise ein Fest feiern.
"der Artikel, -","1. Ich habe einen interessanten Artikel gelesen. 2. Im Deutschen gibt es drei Artikel: der, die, das."
"der Arzt, ¨-e die Ärztin, -nen",1. Ich muss heute zum Arzt. 2. Wann warst du beim Zahnarzt?
"das Asyl, -e",Die Menschen sind auf der Flucht und bitten um Asyl.
"atmen, atmet, atmete, hat geatmet",Er hat eine Erkältung und kann nicht durch die Nase atmen.
der Atem,Bitte den Atem anhalten.
auch,"1. Ich muss leider gehen. – Ich auch. 2. Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten. 3. Wir fahren auf jeden Fall, auch wenn es regnet. 4. Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!"
auf,"1. Deine Brille liegt auf dem Schreibtisch. 2. Die Kinder spielen unten auf der Straße. 3. Meine Eltern leben auf dem Land. 4. Gestern waren wir auf einer Party. 5. Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet. 6. Wie heißt das auf Deutsch? 7. Meine Tochter kommt nächstes Jahr aufs Gymnasium. (D) (A, CH: ins) 8. Im Mai war ich auf Urlaub. (A) (D: in) 9. Ich bin schon seit zwei Stunden auf. 10. Komm herein, die Tür ist auf. (D)"
"der Aufenthalt, -e",1. Der Zug hat in München nur 20 Minuten Aufenthalt. 2. Wir wünschen Ihnen einen angenehmen Aufenthalt.
"auffallen, fällt auf, fiel auf, ist aufgefallen","Mir ist aufgefallen, dass Harriett ganz blass ist."
"auffordern, fordert auf, forderte auf, hat aufgefordert","1. Sie forderte mich auf, meine Meinung zu sagen. 2. Er fordert sie zum Tanz auf."
"die Aufforderung, -en","Sie erhalten eine Aufforderung, den Betrag bis Juni zu zahlen."
"aufführen, führt auf, führte auf, hat aufgeführt",Die Kinder führen zu Weihnachten ein Theaterstück auf.
"die Aufgabe, -n",1. Hast du deine Hausaufgaben für die Schule schon gemacht? 2. Das ist nicht meine Aufgabe.
"aufgeben, gibt auf, gab auf, hat aufgegeben",1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
"aufhalten, hält auf, hielt auf, hat aufgehalten","1. Wo hält er sich gerade auf? – In München. 2. Darf ich Ihnen die Tür aufhalten? 3. Entschuldigen Sie die Verspätung, ich wurde aufgehalten."
"aufheben, hebt auf, hob auf, hat aufgehoben","1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf. 2. Die Quittung müssen Sie gut aufheben."
"aufhören, hört auf, hörte auf, hat aufgehört",1. Es hört nicht auf zu schneien. 2. Wann hört ihr mit der Arbeit auf? 3. Hier hört die Hauptstraße auf.
"aufladen, lädt auf, lud auf, hat aufgeladen",Ich muss mein Telefon aufladen. Die Batterie ist leer.
"auflösen, löst auf, löste auf, hat aufgelöst",Die Tablette bitte in Wasser auflösen.
aufmerksam,"1. Die Schülerin hörte aufmerksam zu. 2. Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen."
"aufnehmen, nimmt auf, nahm auf, hat aufgenommen",1. Wir haben Aneta in unseren Verein aufgenommen. 2. Ich habe den Film im Urlaub aufgenommen.
"die Aufnahme, -n",Bitte seid leise! – Ich starte die Aufnahme.
"aufpassen, passt auf, passte auf, hat aufgepasst",1. Tut mir leid. Da habe ich wohl nicht aufgepasst. 2. Ich muss zu Hause bleiben und auf die Kinder aufpassen.
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.
"aufregen, regt auf, regte auf, hat aufgeregt","1. Es regt mich auf, dass ich schon wieder Überstunden machen muss. 2. Ganz ruhig! Bitte regen Sie sich nicht auf. 3. Heute hast du eine Prüfung. Bist du schon aufgeregt? 4. Die Musikgruppe zu erleben war sehr aufregend."
"aufstehen, steht auf, stand auf, ist aufgestanden",1. Ich stehe jeden Morgen um sechs Uhr auf. 2. Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.
"der Auftrag, ¨-e",1. Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben. 2. Im Moment hat die Firma besonders viele Aufträge.
"auftreten, tritt auf, trat auf, ist aufgetreten",Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.
"der Auftritt, -e",Nach dem Auftritt feiern die Musiker.
"aufwachen, wacht auf, wachte auf, ist aufgewacht",Von dem Lärm bin ich aufgewacht.
aufwärts,1. Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts. 2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.
"der Aufzug, ¨-e (D, A) → Lift",Im Büro ist leider der Aufzug kaputt.
"das Auge, -n",Meine beiden Kinder haben blaue Augen.
"der Augenblick, -e","1. Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen. 2. Einen Augenblick, bitte! 3. Im Augenblick sind keine Plätze frei."
aus,1. Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus. 2. Frau Özgen kommt aus der Türkei. 3. Die Möbel sind noch aus der Zeit um 1900. 4. Ich trage nur Pullover aus reiner Wolle. 5. Wir haben aus Liebe geheiratet. 6. Wann ist der Kurs aus? 7. Ich seh‘ nichts! Das Licht ist aus!
"die Ausbildung, -en",1. Ich habe meine Ausbildung abgeschlossen. 2. Mit deiner guten Ausbildung findest du sicher eine Arbeit.
ausgebildet,Für diesen Beruf müssen Sie gut ausgebildet sein.
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",Kann ich das auf deinem Drucker ausdrucken?
"der Ausdruck, ¨-e",1. Diesen Ausdruck habe ich noch nie gehört.
"der Ausdruck, -e",1. Machen Sie doch bitte einen Ausdruck von der E-Mail.
auseinander,Wir wohnen nicht weit auseinander.
"die Ausfahrt, -en","1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken. 2. Wie weit ist es noch bis zur Ausfahrt Freiburg?"
"ausfallen, fällt aus, fiel aus, ist ausgefallen",Nächste Woche fällt der Kurs aus.
"der Ausflug, ¨-e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt",Füllen Sie bitte dieses Formular aus!
"die Ausgabe, -n",1. Wie hoch sind Ihre Ausgaben in einem Monat? 2. Wo ist die Essensausgabe? 3. In welchem Buch hast du das gelesen? In welcher Ausgabe?
"der Ausgang, ¨-e",Wo ist der Ausgang bitte?
"ausgeben, gibt aus, gab aus, hat ausgegeben",Carola gibt viel Geld für ihr Hobby aus.
"ausgehen, geht aus, ging aus, ist ausgegangen",1. Plötzlich ist das Licht ausgegangen. 2. Gehen wir heute Abend aus? 3. Wie ist das Spiel ausgegangen?
ausgezeichnet,Essen und Unterkunft waren ausgezeichnet.
"die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.
"die Auskunft, ¨-e","1. Ich hätte gern eine Auskunft. 2. Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an."
das Ausland,Wir fahren im Urlaub meistens ins Ausland.
"der Ausländer, die Ausländerin, -nen ausländisch",Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch. Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.
"ausmachen, macht aus, machte aus, hat ausgemacht","1. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus. 2. Machen Sie bitte das Licht aus! 3. Wir hatten doch ausgemacht, dass du die Getränke besorgst. 4. Haben Sie einen Termin ausgemacht?"
"die Ausnahme, -n",Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.
"ausreichen, reicht aus, reichte aus, hat ausgereicht",1. Das Geld muss bis März ausreichen. 2. Seine Kenntnisse reichen für diese Arbeit aus.
ausreichend,Das Geld ist für die Reise ausreichend.
"ausrichten, richtet aus, richtete aus, hat ausgerichtet",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?
"(sich) ausruhen, ruht aus, ruhte aus, hat ausgeruht",1. Sie ruhen sich von der Arbeit aus. 2. Bist du gut ausgeruht?
"ausschließen, schließt aus, schloss aus, hat ausgeschlossen",1. Das kann man nicht ganz ausschließen. 2. So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.
ausschließlich,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.
"aussehen, sieht aus, sah aus, hat ausgesehen","1. Sie sehen wieder besser aus. Sind Sie wieder gesund? 2. Er sieht genauso aus wie sein Vater. 3. Es sieht so aus, als ob es bald regnen würde."
außen,1. Wir haben das Schloss nur von außen gesehen. 2. Außen ist das Haus nicht sehr schön.
außerhalb,Wir wohnen außerhalb von Berlin.
äußerlich,Das Medikament dürfen Sie nur äußerlich anwenden.
außer,1. Außer Lisa hat sich niemand um die Stelle beworben. 2. Der Aufzug ist außer Betrieb. 3. Wir haben täglich außer Samstag geöffnet.
außerdem,"1. Möchten Sie außerdem noch etwas? 2. Der Film war langweilig, und außerdem haben die Schauspieler schlecht gespielt."
"die Aussicht, -en",1. Von diesem Turm hat man eine tolle Aussicht. 2. Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.
"aussprechen, spricht aus, sprach aus, hat ausgesprochen",Wie spricht man dieses Wort aus?
"die Aussprache, -n",Ali hat eine gute Aussprache.
"ausstellen, stellt aus, stellte aus, hat ausgestellt",1. Im Schaufenster sind Winterschuhe ausgestellt. 2. Das Zeugnis wird bis nächste Woche ausgestellt.
"die Ausstellung, -en",1. Wir waren mit der Lehrerin in einer Ausstellung. 2. Die Ausstellung eines neuen Passes dauert zwei Wochen.
"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht",Such dir etwas Schönes aus! Ich lade dich ein.
"auswählen, wählt aus, wählte aus, hat ausgewählt",Für die Aufgabe können Sie aus drei Themen auswählen.
"die Auswahl, -en",1. Wir müssen eine Auswahl aus den Büchern treffen. 2. Das Geschäft hat eine große Auswahl.
"der Ausweis, -e",Darf ich mal Ihren Ausweis sehen?
"ausziehen, zieht aus, zog aus, hat/ist ausgezogen",1. Willst du den Mantel nicht ausziehen? 2. Müllers sind schon vor vier Wochen ausgezogen.
"das Auto, -s",Mario fährt mit dem Auto zur Arbeit.
"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.
"der Automat, -en",1. Zigaretten bekommst du am Automaten. 2. Der Fahrkartenautomat ist auf dem Bahnsteig.
automatisch,1. Die Tür schließt automatisch. 2. Das Zeugnis bekommen Sie automatisch zugeschickt.
"der Autor, -en die Autorin, -nen",Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.
"backen, bäckt/backt, backte, hat gebacken","Wenn du kommst, backe ich einen Kuchen."
"die Bäckerei, -en",Wir kaufen unser Brot immer in der Bäckerei am Markt.
"baden, badet, badete, hat gebadet",1. Wenn du baden möchtest: Das Badezimmer ist dort hinten links. 2. Hier ist Baden verboten!
"das Bad, ¨-er",1. Nach einem warmen Bad fühlt man sich gleich viel besser. 2. Ich möchte ein Zimmer mit Bad.
"die Badewanne, -n",Nach einem langen Arbeitstag setzte sie sich in die Badewanne.
"die Bahn, -en",Ich komme mit der Bahn.
"die S-Bahn, -en",Die S-Bahn ist schneller als die Straßenbahn.
"die Straßenbahn, -en",Nehmen Sie die Straßenbahn Nr. 16.
"die U-Bahn, -en",Die letzte U-Bahn geht um 23.15 Uhr.
"der Bahnhof, ¨-e",Ich bringe Sie zum Bahnhof.
"der Bahnsteig, -e (D, A) → CH: Perron",Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.
bald,"1. Besuchen Sie uns doch bald mal. 2. Geben Sie mir bitte so bald wie möglich Bescheid. 3. Auf Wiedersehen, bis bald!"
"der Balkon, -e",Die Wohnung hat auch einen kleinen Balkon.
"der Ball, ¨-e",Ich spiele gern mit meinen Kindern Ball.
"das Ballett, -e",Meine Tochter möchte gern Ballett tanzen.
"die Banane, -n","1 Kilo Bananen, bitte."
"die Bank, ¨-e","Kommt, wir setzen uns auf die Bank da vorne."
"die Bank, -en",Bei welcher Bank haben Sie Ihr Konto?
"der Bankomat, -en (A, CH) → D: Geldautomat",Ich hole noch schnell Geld vom Bankomaten.
"die Bankleitzahl, -en",Bitte geben Sie Ihre Bankleitzahl an.
"die Bankomat-Karte, -n (A) → ec-Karte/EC-Karte",Sie können auch mit Bankomat-Karte zahlen.
"die Bar, -s",1. Setzen wir uns doch an die Bar! 2. Ich treffe meine Freundin in der Hotelbar.
bar,Zahlen Sie bar?
"das Bargeld, -er",Ich habe kein Bargeld mehr.
"der Bart, ¨-e",John trägt jetzt einen Bart.
"der Basketball, ¨-e",1. Sie spielt sehr gern Basketball. 2. Er hat zum Geburtstag einen neuen Basketball bekommen.
"basteln, bastelt, bastelte, hat gebastelt",1. Die Kinder basteln ein Vogelhaus. 2. Ich arbeite gern mit natürlichen Bastelmaterialien.
